"","x"
"Aa_sp",94.3396226415094
"Abies_alba",54.3188762284073
"Abies_lasiocarpa",39.3
"Abronia_villosa",140
"Abutilon_theophrasti",250
"Acacia_auriculiformis",95
"Acacia_colei",35.8
"Acacia_colletioides",27.5962623027013
"Acacia_dimidiata",50.1
"Acacia_doratoxylon",45.7021750940312
"Acacia_floribunda",79.6813766021528
"Acacia_havilandiorum",24.2470331963698
"Acacia_karroo",100
"Acacia_mimula",53.75
"Acacia_oswaldii",37.8567283696826
"Acacia_robusta",73.2
"Acacia_suaveolens",45.350554296601
"Acacia_willhelmiana",62.3663940303394
"Acalypha_skutchii",385.951925122314
"Acantholimon_diapensioides",76.9230769230769
"Acer_campestre",134.157706554387
"Acer_mono",176.991150442478
"Acer_monspessulanum",124.913366630086
"Acer_negundo",256.687766485634
"Acer_opalus",165.272009227053
"Acer_palmatum",222.222222222222
"Acer_pensylvanicum",243.878666775644
"Acer_platanoides",196.687733142727
"Acer_pseudoplatanus",159.240953171986
"Acer_rubrum",144.419392050365
"Acer_saccharinum",297
"Acer_saccharum",146.667285233296
"Achillea_cartilaginea",224.2
"Achillea_collina",191.2
"Achillea_erba",222.22
"Achillea_erba-rotta_s._moschata",222.2
"Achillea_macrophylla",202.307142731046
"Achillea_millefolium",178.789152768992
"Achillea_pannonica",78.0115376082282
"Achillea_ptarmica",148.837418790493
"Achnatherum_splendens",83.8222967309304
"Achyronychia_cooperi",293.756618757037
"Acomastylis_rossii",119
"Aconitum_lycoctonum",255.317057792855
"Aconitum_napellus",202.567889854241
"Acorus_calamus",220.063290653488
"Acronychia_pedunculata",97.0873786407768
"Actaea_spicata",382.793887098527
"Actinodaphne_ambigua",65.359477124183
"Adenanthos_cygnorum",42.998912580699
"Adenocarpus_foliolosus",100.170289492137
"Adenostoma_fasciculatum",43.1255486056676
"Adenostyles_alliariae",244.437231206705
"Adina_cordifolia",81.7661488143909
"Adinandra_dumosa",72.5871889523213
"Adonis_aestivalis",420.7
"Adonis_vernalis",150.385921874453
"Adoxa_moschatellina",383.019710432008
"Aegilops_geniculata",240.159269282019
"Aegilops_ovata",231
"Aegiphila_costaricensis",232.069950035689
"Aegiphila_lhotzkiana",83.33
"Aegle_marmelos",87.260034904014
"Aegopodium_podagraria",284.235916277625
"Aesculus_californica",139.178844815588
"Aesculus_hippocastanum",134.922579503293
"Aethusa_cynapium",318.781724687429
"Aextoxicon_punctatum",76.4107322304923
"Afrocarpus_falcatus",47.4043356250621
"Agastache_foeniculum",108
"Agrimonia_eupatoria",187.387838943011
"Agrimonia_gryposepala",206
"Agrimonia_procera",194.914752130686
"Agropyron_cristatum",205.791156272567
"Agropyron_repens",171.66873338497
"Agropyron_sp",275
"Agrostemma_githago",177.5
"Agrostis_canina",259.784277916744
"Agrostis_capillaris",314.129311344233
"Agrostis_curtisii",220
"Agrostis_gigantea",215.827699797779
"Agrostis_mertensii",240.3
"Agrostis_nigritella",107.52688172043
"Agrostis_rupestris",155
"Agrostis_scabra",118
"Agrostis_stolonifera",305.787194922639
"Agrostis_tenuis",253.742731012252
"Agrostis_vinealis",194.265825762164
"Ailanthus_altissima",177.8
"Aira_caryophyllea",194.600033420324
"Aira_praecox",206.341165027476
"Ajania_tibetica",90.8265213442325
"Ajuga_chamaepitys",224.8
"Ajuga_genevensis",256.963032360688
"Ajuga_pyramidalis",171.264123505187
"Ajuga_reptans",351.900290284442
"Albizia_adinathifolia",104
"Alcea_rosea",144.5
"Alchemilla_alpina",138.096520841035
"Alchemilla_filicaulis",192.293532495886
"Alchemilla_glabra",212.124069738725
"Alchemilla_glaucescens",183.338261759155
"Alchemilla_mollis",157.5
"Alchemilla_monticola",172.934293880653
