"","taxa","rank","trait","size","age","aic.bm","aicw.bm","m.pic.ml.bm","v.pic.ml.bm","s.var.ml.bm","s.anc.ml.bm","s.hgt.ml.bm","d.ks.ml.bm","mv.ml.bm","mean.diag.bm","aic.ou","aicw.ou","m.pic.ml.ou","v.pic.ml.ou","s.var.ml.ou","s.anc.ml.ou","s.hgt.ml.ou","d.ks.ml.ou","mv.ml.ou","mean.diag.ou","aic.eb","aicw.eb","m.pic.ml.eb","v.pic.ml.eb","s.var.ml.eb","s.anc.ml.eb","s.hgt.ml.eb","d.ks.ml.eb","mv.ml.eb","mean.diag.eb"
"out.ml","Salicaceae","family","leafn",22,78.474371,-41.2041175090272,0.528099369912872,0,0.807192807192807,0.943056943056943,0.555444555444555,0.717282717282717,0.333666333666334,9.52266163303109,0,-39.5840965081208,0.234926797622198,0,0.679320679320679,0.915084915084915,0.575424575424575,0.651348651348651,0.345654345654346,9.69345490936801,0,-39.6014480228425,0.23697383246493,0,0.715284715284715,0.909090909090909,0.557442557442557,0.633366633366633,0.415584415584416,10.0133516484499,0
"out.ml1","Fagaceae","family","leafn",46,40.409993,-37.9335026790682,0.00043470664621955,0,0.253746253746254,0.403596403596404,0.973026973026973,0.631368631368631,0.625374625374625,14.9743127056713,0,-53.4139913895749,0.99940540122079,0,0.173826173826174,0.425574425574426,0.935064935064935,0.759240759240759,0.719280719280719,16.4696104797925,0,-35.9331586630315,0.000159892132990329,0,0.22977022977023,0.471528471528472,0.935064935064935,0.651348651348651,0.839160839160839,17.0592250712779,0
"out.ml2","Betulaceae","family","leafn",21,27.279622,-45.3918362487374,0.446652963500292,0,0.463536463536464,0.675324675324675,0.411588411588412,0.681318681318681,0.813186813186813,9.10384986857778,0,-42.4609130302896,0.103164037228936,0,0.393606393606394,0.631368631368631,0.407592407592408,0.875124875124875,0.777222777222777,10.5069429367108,0,-45.4075807288757,0.450182999270772,0,0.575424575424575,0.719280719280719,0.347652347652348,0.373626373626374,0.579420579420579,10.8549879612494,0
"out.ml3","Rosaceae","family","leafn",49,82.294049,-70.7001229896748,0.443898102112213,0,0.035964035964036,0.607392607392607,0.00599400599400599,0.553446553446553,0.815184815184815,28.9128941997908,0,-70.4355199359503,0.388888826410917,0,0.011988011988012,0.527472527472527,0.011988011988012,0.623376623376623,0.525474525474525,31.8201139141137,0,-68.7474706695515,0.16721307147687,0,0.017982017982018,0.573426573426573,0.013986013986014,0.523476523476524,0.709290709290709,30.5184743538282,0
"out.ml4","Fabaceae","family","leafn",67,69.14253,-103.399412228558,0.556731068336786,0,0.033966033966034,0.103896103896104,0.987012987012987,0.11988011988012,0.487512487512487,29.5231632654257,0,-101.395139152546,0.204372797261478,0,0.04995004995005,0.105894105894106,0.947052947052947,0.127872127872128,0.395604395604396,28.2399183934348,0,-101.707305371969,0.238896134401737,0,0.0639360639360639,0.12987012987013,0.909090909090909,0.145854145854146,0.415584415584416,29.9973340141778,0
"out.ml5","Asteraceae","family","leafn",53,45.743702,-4.61787238207406,5.23522280015258e-07,0,0.431568431568432,0.841158841158841,0.999000999000999,0.787212787212787,0.353646353646354,15.1127107287488,0,-33.5432434462166,0.999999284253596,0,0.437562437562438,0.221778221778222,0.989010989010989,0.989010989010989,0.181818181818182,17.5881080996263,0,-2.61403721327325,1.92224124188336e-07,0,0.407592407592408,0.921078921078921,0.975024975024975,0.795204795204795,0.395604395604396,14.3771468763783,0
"out.ml6","Poales","order","leafn",59,90.169528,7.83692954664419,4.93190109309552e-08,0,0.001998001998002,0.733266733266733,0.0759240759240759,0.425574425574426,0.025974025974026,39.1227958858506,0,-25.8129827444176,0.999999932562667,0,0,0.161838161838162,0.353646353646354,0.0639360639360639,0.015984015984016,62.1194869335554,0,9.83970135047091,1.81183225543225e-08,0,0,0.679320679320679,0.0719280719280719,0.481518481518482,0.051948051948052,44.9322581339533,0
"out.ml7","Myrtales","order","leafn",42,88.200516,-40.987566890775,0.576086127212806,0,0.231768231768232,0.503496503496504,0.607392607392607,0.175824175824176,0.0819180819180819,17.3067950414443,0,-38.9880853724324,0.211985190639461,0,0.241758241758242,0.571428571428571,0.629370629370629,0.231768231768232,0.127872127872128,16.7629767920634,0,-38.9875521651402,0.211928682147733,0,0.235764235764236,0.551448551448551,0.625374625374625,0.213786213786214,0.037962037962038,19.2616530149091,0
"out.ml8","Malvales","order","leafn",27,80.999558,-31.7320387958324,0.417492109124393,0,0.53946053946054,0.607392607392607,0.44955044955045,0.757242757242757,0.41958041958042,9.86534512073088,0,-31.7854861620194,0.428799449913576,0,0.447552447552448,0.433566433566434,0.527472527472527,0.3996003996004,0.487512487512487,9.80793183107001,0,-29.7336226431341,0.153708440962032,0,0.561438561438561,0.625374625374625,0.44955044955045,0.681318681318681,0.393606393606394,9.32595024361913,0
"out.ml9","Malpighiales","order","leafn",46,105.848039,-43.0584601936979,0.53540757507315,0,0.0619380619380619,0.955044955044955,0.393606393606394,0.527472527472527,0.231768231768232,20.5511424107982,0,-41.6751974476899,0.268109882663759,0,0.035964035964036,0.927072927072927,0.383616383616384,0.447552447552448,0.231768231768232,22.2590356737219,0,-41.053550802687,0.196482542263092,0,0.0719280719280719,0.953046953046953,0.407592407592408,0.511488511488511,0.241758241758242,19.8255625507669,0
