"taxa","rank","trait","size","age","dic.bm","dic.ou","dic.eb","dicw.bm","dicw.ou","dicw.eb","m.sig.bayes.bm","c.var.bayes.bm","s.var.bayes.bm","s.asr.bayes.bm","s.hgt.bayes.bm","d.cdf.bayes.bm","mv.bayes.bm","mean.diag.bm","m.sig.bayes.ou","c.var.bayes.ou","s.var.bayes.ou","s.asr.bayes.ou","s.hgt.bayes.ou","d.cdf.bayes.ou","mv.bayes.ou","mean.diag.ou","m.sig.bayes.eb","c.var.bayes.eb","s.var.bayes.eb","s.asr.bayes.eb","s.hgt.bayes.eb","d.cdf.bayes.eb","mv.bayes.eb","mean.diag.eb"
"random","timeslice","leaf_n",935,188.283243,-777.212182005066,-793.332470362606,-775.06137890086,0.00031574749299793,0.999576531860538,0.000107720646464156,0,0,0,0.94,0,0.062,162.501408324047,1000,0.002,0,0,0.838,0,0.1,142.925928027831,999,0,0,0,0.952,0,0.088,172.075334086719,1000
"random","timeslice","leaf_n",80,158.342078,6.08115879158041,-12.9996199632646,8.24884292153269,0.0000718819346682425,0.999903800889821,0.0000243171755110636,0,0,0.002,0,0.006,0.074,119.331078266025,1000,0.704,0,0,0.672,0.002,0.05,83.0604483967153,648,0,0,0.002,0,0.002,0.092,125.447422459246,1000
"random","timeslice","leaf_n",33,147.065217,-38.9426631104702,-27.1210907173913,-43.8643636967147,0.0786319404355999,0.000213096915845998,0.921154962648554,0.998,0.344,0.732,0.052,0.932,0.258,7.5937923742355,501,0.936,0.148,0.002,0.226,0.518,0.168,21.1226493640184,468,0.53,0.75,0.304,0.02,0.386,0.27,19.5526515149006,735
"random","timeslice","leaf_n",822,136.900467,-752.027403293445,-759.779915053109,-749.964637241898,0.020161387253415,0.972650804963249,0.00718780778333559,0,0,0,0.348,0,0.078,108.4003633099,1000,0.028,0,0,0.826,0.002,0.076,90.9359321979756,986,0,0,0,0.332,0,0.108,119.041488309721,1000
"random","timeslice","leaf_n",59,90.169528,7.80240749926552,-11.1141630175931,0.241122037343843,0.0000777681336023267,0.996512549274336,0.00340968259206145,0,0,0.05,0.018,0.112,0.074,115.418809232342,1000,0.628,0,0.002,0.138,0,0.01,118.153909097771,686,0,0,0.028,0.018,0.044,0.062,118.689017102807,1000
"random","timeslice","leaf_n",40,94.810763,-38.6521824996914,-36.5612769973784,-45.2723846794649,0.0347954054199287,0.0122317202587987,0.952972874321273,0.594,0.004,0.808,0.382,0.736,0.754,12.8077637276211,703,0.928,0.002,0.554,0.21,0.366,0.53,18.6608167770352,464,0.29,0.002,0.368,0.808,0.388,0.548,18.3137454847464,855
"random","timeslice","leaf_n",145,116.87746,-145.794395122991,-110.853495152615,-143.493715534227,0.759572961386007,0.0000000196448841382942,0.240427018969109,0.308,0.3,0.118,0.472,0.024,0.852,9.14620813931019,846,0.95,0.008,0,0.972,0.534,0.216,57.7270535974305,475,0.264,0.234,0.066,0.452,0.008,0.778,12.4086012046678,868
"random","timeslice","leaf_n",294,113.679599,-365.150535609778,-345.386903271044,-363.033335719248,0.742394739834744,0.0000379329529658014,0.25756732721229,0.034,0.002,0.01,0.004,0.074,0.17,41.1337133821291,983,0.524,0,0,0.028,0.17,0.024,70.7519383165207,738,0.028,0.008,0.004,0.002,0.032,0.182,45.1578146064712,986
"random","timeslice","leaf_n",304,116.697277,-190.21996282527,-177.853007395064,-187.962226293569,0.754453752989512,0.00155661916306559,0.243989627847423,0,0.004,0,0,0,0.27,107.102372433024,1000,0.636,0,0,0.178,0.02,0.018,124.024516148656,682,0,0,0,0,0,0.278,118.511125346868,1000
"random","timeslice","leaf_n",37,19.128619,16.8659921912893,-3.87970223094146,20.9771567477268,0.0000312690276032548,0.999964727965528,0.00000400300686900633,0,0,0.046,0.03,0.012,0.024,138.88070543535,1000,0.6,0,0.006,0.14,0,0.004,126.847182428075,700,0,0,0.014,0.026,0.044,0.02,150.442143982576,1000
"random","timeslice","leaf_n",36,49.040063,-39.8435747283854,-47.9488049339764,-39.0969635590765,0.0168815666038329,0.971496237507589,0.0116221958885777,0.466,0.002,0.186,0.748,0.058,0.432,17.8404730002776,767,0.852,0.01,0.86,0.706,0.658,0.322,12.2050224614209,426,0.244,0.004,0.05,0.888,0.01,0.372,29.1719064890436,878
"random","timeslice","leaf_n",25,44.697136,-32.5206505011742,-35.6203796173561,-27.5151012850355,0.172631378410594,0.813237438070398,0.0141311835190077,0.45,0.782,0.788,0.088,0.03,0.214,10.1118402028611,775,0.924,0.662,0.738,0.274,0.794,0.46,3.19117410132181,462,0.034,0.956,0.762,0.056,0.208,0.582,25.2070553897177,983
"random","timeslice","leaf_n",21,46.097344,-41.9770087552162,-42.6825798780591,-44.0009384694629,0.193273054374514,0.275032573559662,0.531694372065823,0.906,0.736,0.79,0.302,0.06,0.26,5.12198412844903,547,0.702,0.56,0.964,0.406,0.91,0.16,3.65205887228123,351,0.578,0.744,0.83,0.246,0.458,0.318,3.66540712456485,711
"random","timeslice","leaf_n",78,62.305393,-81.9512436920289,-94.859134110924,-95.4570736059858,0.000669902157731088,0.42552410565604,0.573805992186229,0.006,0.012,0,0.02,0.002,0.328,47.3262772647037,997,0.646,0.01,0,0.23,0.05,0.284,25.1949975052957,677,0.002,0.012,0,0.02,0.008,0.412,56.9352863986363,999
"random","timeslice","leaf_n",26,60.184154,-48.2848997425449,-48.5183657593739,-48.6002575419761,0.303526105325622,0.341108507154722,0.355365387519656,0.922,0,0.96,0.242,0.704,0.922,16.1186175769114,461,0.82,0.002,0.558,0.33,0.354,0.97,30.0438761748536,410,0.362,0,0.28,0.138,0.334,0.908,26.4816388142325,819
"random","timeslice","leaf_n",64,64.626816,-99.4395490391467,-65.3608387174159,-103.750988567698,0.103797940686586,0.00000000413133883841768,0.896202055182075,0.79,0.762,0.588,0.48,0.67,0.914,3.96948668480703,395,0.796,0.002,0,0.844,0.592,0.036,44.0634185782845,398,0.578,0.508,0.206,0.89,0.31,1,3.82795439449926,711
"random","timeslice","leaf_n",21,61.000234,-17.777112345773,-25.5640461090999,-12.0779948668384,0.0199447057338941,0.978901097118583,0.00115419714752289,0.192,0.434,0.6,0.048,0.058,0.798,13.1989900452993,904,0.964,0.762,0.716,0.156,0.722,0.814,3.22894563561618,482,0.008,0.786,0.134,0.052,0.002,0.672,30.3774528825465,996
