"","taxa","rank","trait","size","age","aic.w.bm","aic.w.lambda","model.used","model.coef","mv.modelad","sigsq.est","var.contrast","cor.contrast.var","cor.contrast.asr","cor.contrast.nh","ks.contrast"
"1","Poales","order","sla~leafN",59,90.16953,"6.98874592468934e-21","1","Lambda","0.728290758181255","1.63616623809391","0.883116883116883","0.515484515484515","0.997002997002997","0.697302697302697","0.687312687312687","0.579420579420579"
"2","Myrtales","order","sla~leafN",40,88.200517,"5.61770249005788e-07","0.999999438229751","Lambda","0.816550015321774",NA,"0.837162837162837","0.977022977022977","0.609390609390609","0.713286713286713","0","0.0619380619380619"
"3","Malvales","order","sla~leafN",24,80.999562,"0.00341187619887755","0.996588123801122","Lambda","1.14302078456912","4.64484828610667","0.819180819180819","0.287712287712288","0.853146853146853","0.823176823176823","0.981018981018981","0.271728271728272"
"4","Malpighiales","order","sla~leafN",35,105.848043,"0.00619182117758577","0.993808178822414","Lambda","0.578246565123059","27.7544642639496","0.819180819180819","0.0979020979020979","0.125874125874126","0","0.22977022977023","0.415584415584416"
"5","Fagales","order","sla~leafN",84,82.105497,"3.13878109038187e-31","1","Lambda","0.638204097645127","2.26164466855276","0.925074925074925","0.757242757242757","0.793206793206793","0.781218781218781","0.725274725274725","0.14985014985015"
"6","Rosales","order","sla~leafN",83,89.277087,"1.73441633902817e-06","0.999998265583661","Lambda","0.812418481232636","3.85935112843701","0.897102897102897","0.949050949050949","0.855144855144855","0.243756243756244","0.38961038961039","0.197802197802198"
"7","Fabales","order","sla~leafN",61,72.048797,"1.32461005850667e-23","1","Lambda","0.965762165565225","3.65401770185396","0.881118881118881","0.507492507492508","0.253746253746254","0.34965034965035","0.843156843156843","0.481518481518482"
"8","Caryophyllales","order","sla~leafN",35,89.46094,"9.10009566070443e-10","0.99999999908999","Lambda","0.488605224675473","2.45736904280042","0.875124875124875","0.985014985014985","0.817182817182817","0.967032967032967","0.265734265734266","0.375624375624376"
"9","Asterales","order","sla~leafN",54,83.663674,"5.12705468304043e-07","0.999999487294532","Lambda","1.09227214785079","3.6848987172999","0.855144855144855","0.457542457542458","0.177822177822178","0.569430569430569","0.979020979020979","0.929070929070929"
"10","Gentianales","order","sla~leafN",28,58.804914,"7.32308348590576e-05","0.999926769165141","Lambda","0.733217094040083","4.35605056681155","0.765234765234765","0.433566433566434","0.181818181818182","0.729270729270729","0.847152847152847","0.535464535464535"
