"","taxa","rank","trait","size","age","aic.w.bm","aic.w.lambda","model.used","model.coef","mv.modelad","sigsq.est","var.contrast","cor.contrast.var","cor.contrast.asr","cor.contrast.nh","ks.contrast"
"1",NA,NA,"sla~leafN",878,188.283246,"0","1","Lambda","0.809847414636113","23.7921397118626","0.995004995004995","0.031968031968032","0.297702297702298","0.0879120879120879","0.933066933066933","0.659340659340659"
"2",NA,NA,"sla~leafN",80,158.34208,"1.1238215912259e-36","1","Lambda","0.825409588953506","2.09511415860989","0.861138861138861","0.559440559440559","0.921078921078921","0.931068931068931","0.949050949050949","0.265734265734266"
"3",NA,NA,"sla~leafN",29,147.065219,"0.00702002765240176","0.992979972347598","Lambda","0.603300771741747","6.35989918129782","0.853146853146853","0.48951048951049","0.24975024975025","0.235764235764236","0.987012987012987","0.111888111888112"
"4",NA,NA,"sla~leafN",769,136.90047,"0","1","Lambda","0.81481068034891","12.895502947087","0.963036963036963","0.0659340659340659","0.555444555444555","0.589410589410589","0.537462537462537","0.617382617382617"
"5",NA,NA,"sla~leafN",59,90.16953,"6.98874592468934e-21","1","Lambda","0.728290758181255","1.29550449858246","0.903096903096903","0.505494505494505","0.993006993006993","0.753246753246753","0.733266733266733","0.637362637362637"
"6",NA,NA,"sla~leafN",40,94.810766,"7.5654965272248e-10","0.99999999924345","Lambda","0.987612404937718",NA,"0.863136863136863","0.461538461538462","0.865134865134865","0.457542457542458","0","0.909090909090909"
"7",NA,NA,"sla~leafN",131,116.877463,"2.43267685798715e-17","1","Lambda","0.723539648035001","1.73984784604366","0.931068931068931","0.719280719280719","0.387612387612388","0.415584415584416","0.671328671328671","0.931068931068931"
"8",NA,NA,"sla~leafN",272,113.679603,"3.72542926418344e-168","1","Lambda","0.723575844872646","6.01249705969687","0.951048951048951","0.245754245754246","0.701298701298701","0.457542457542458","0.725274725274725","0.381618381618382"
"9",NA,NA,"sla~leafN",287,116.69728,"4.05243898235046e-50","1","Lambda","0.884319984854277","4.13144210159694","0.875124875124875","0.333666333666334","0.383616383616384","0.941058941058941","0.677322677322677","0.48951048951049"
"10",NA,NA,"sla~leafN",37,19.128621,"1.45697279077584e-11","0.99999999998543","Lambda","0.653447630697013",NA,"0.839160839160839","0.747252747252747","0.657342657342657","0.33966033966034","0","0.815184815184815"
"11",NA,NA,"sla~leafN",36,49.040066,"1.08503772301288e-07","0.999999891496228","Lambda","0.787453451930149",NA,"0.801198801198801","0.265734265734266","0.997002997002997","0.297702297702298","0","0.853146853146853"
"12",NA,NA,"sla~leafN",24,44.697137,"0.0050020069543695","0.994997993045631","Lambda","0.672592696121074","2.85062859446744","0.787212787212787","0.757242757242757","0.523476523476524","0.46953046953047","0.855144855144855","0.551448551448551"
"13",NA,NA,"sla~leafN",78,62.305397,"1.47162608177639e-27","1","Lambda","0.61264180485101","1.39381193512828","0.845154845154845","0.811188811188811","0.933066933066933","0.569430569430569","0.869130869130869","0.311688311688312"
"14",NA,NA,"sla~leafN",26,60.184156,"0.216824001950526","0.783175998049474","Lambda","0.567252510287261","7.11091534576428","0.779220779220779","0.241758241758242","0.775224775224775","0.879120879120879","0.541458541458541","0.0979020979020979"
"15",NA,NA,"sla~leafN",56,64.62682,"1.70804770238904e-20","1","Lambda","0.982748403146743","1.1941818085393","0.861138861138861","0.749250749250749","0.415584415584416","0.441558441558442","0.913086913086913","0.975024975024975"
"16",NA,NA,"sla~leafN",21,61.00024,"1.26597505513836e-07","0.999999873402494","Lambda","0.734512664160057","6.92731717898827","0.779220779220779","0.44955044955045","0.421578421578422","0.959040959040959","0.235764235764236","0.929070929070929"
"17",NA,NA,"sla~leafN",43,65.093444,"4.97362105663875e-06","0.999995026378943","Lambda","1.03702029836049","6.46070140789284","0.877122877122877","0.27972027972028","0.147852147852148","0.833166833166833","0.653346653346653","0.557442557442557"
"18",NA,NA,"sla~leafN",52,45.743704,"1.1415154050973e-06","0.999998858484595","Lambda","1.08401621224612","3.1113589992641","0.951048951048951","0.585414585414585","0.263736263736264","0.661338661338661","0.951048951048951","0.985014985014985"
"19",NA,NA,"sla~leafN",28,58.804914,"7.32308348590576e-05","0.999926769165141","Lambda","0.733217094040083","4.71308616021927","0.813186813186813","0.457542457542458","0.163836163836164","0.793206793206793","0.869130869130869","0.343656343656344"
"20",NA,NA,"sla~leafN",57,56.240541,"3.91322224474087e-06","0.999996086777755","Lambda","0.959336912658239","6.65579083019444","0.873126873126873","0.461538461538462","0.959040959040959","0.141858141858142","0.213786213786214","0.491508491508492"
"21",NA,NA,"sla~leafN",28,14.197004,"1.22265767075842e-10","0.999999999877734","Lambda","0.419648290374081",NA,"0.789210789210789","0.745254745254745","0.657342657342657","0.417582417582418","0","0.153846153846154"
"22",NA,NA,"sla~leafN",43,4.537495,"1.06047542822436e-09","0.999999998939525","Lambda","0.614552652147922","1.93598395947966","0.825174825174825","0.843156843156843","0.517482517482518","0.525474525474525","0.515484515484515","0.441558441558442"
