"","taxa","rank","trait","size","age","aic.w.bm","aic.w.ou","aic.w.eb","model.used","mv.modelad","sigsq.est","var.contrast","cor.constrast.var","cor.contrast.asr","cor.contrast.nh","ks.contrast"
"1","Araceae","family","seedMass",20,123.181679,"0.312210348008835","0.572934757642647","0.114854894348518","OU","9.47703112058425","0.383616383616384","0.477522477522478","0.0679320679320679","0.033966033966034","0.0859140859140859","0.585414585414585"
"2","Liliaceae","family","seedMass",59,58.448225,"0.572518647690528","0.216863652153755","0.210617700155717","BM","15.5519300378684","0","0.047952047952048","0.495504495504495","0.307692307692308","0.541458541458541","0.747252747252747"
"3","Xanthorrhoeaceae","family","seedMass",39,63.130788,"0.57172599374475","0.217947987827128","0.210326018428122","BM","9.37947182119662","0.00799200799200799","0.045954045954046","0.865134865134865","0.617382617382617","0.107892107892108","0.367632367632368"
"4","Amaryllidaceae","family","seedMass",51,67.472543,"0.0034350942703426","0.995301221221993","0.0012636845076646","OU","10.3516076785215","0.003996003996004","0.117882117882118","0.363636363636364","0.25974025974026","0.845154845154845","0.335664335664336"
"5","Juncaceae","family","seedMass",60,32.55784,"0.536756186939283","0.265782665634526","0.197461147426191","BM","9.67432138331039","0.003996003996004","0.0859140859140859","0.34965034965035","0.997002997002997","0.715284715284715","0.527472527472527"
"6","Cyperaceae","family","seedMass",346,36.281769,"7.72346589476767e-08","0.999999894352716","2.84126249395753e-08","OU","53.330368714253","0","0","0.935064935064935","0.185814185814186","0.0919080919080919","0.0559440559440559"
"7","Restionaceae","family","seedMass",63,41.661224,"0.00020897369078105","0.999714149933559","7.68763756603825e-05","OU","17.2317604712992","0.195804195804196","0.945054945054945","0.00599400599400599","0.107892107892108","0.297702297702298","0.991008991008991"
"8","Lauraceae","family","seedMass",49,88.128423,"1.85300104560591e-06","0.999997465326783","6.81672171073382e-07","OU","17.6264674693325","0.493506493506494","0.253746253746254","0.00999000999000999","0.405594405594406","0.561438561438561","0.739260739260739"
"9","Annonaceae","family","seedMass",36,45.497683,"0.00645634048503514","0.991168524491284","0.00237513502368069","OU","4.00892301190145","0.051948051948052","0.017982017982018","0.977022977022977","0.839160839160839","0.575424575424575","0.649350649350649"
"10","Proteaceae","family","seedMass",150,92.305322,"0.15255161154853","0.79132857667025","0.0561198117812199","OU","34.15464603817","0","0.0559440559440559","0.40959040959041","0","0.21978021978022","0.177822177822178"
