"","taxa","rank","trait","size","age","aic.w.bm","aic.w.ou","aic.w.eb","model.used","mv.modelad","reml.sigsq","var.con","slope.con.var","slope.con.asr","slope.con.nh","ks.dstat"
"1","Araceae","family","seedMass",20,123.181679,"0.312210348008834","0.572934757642646","0.11485489434852","OU","9.61515908530031","0.34965034965035","0.427572427572428","0.04995004995005","0.031968031968032","0.0919080919080919","0.609390609390609"
"2","Liliaceae","family","seedMass",59,58.448225,"0.572518647688326","0.216863652156768","0.210617700154906","BM","14.4925084364836","0","0.045954045954046","0.45954045954046","0.26973026973027","0.563436563436563","0.663336663336663"
"3","Xanthorrhoeaceae","family","seedMass",39,63.130788,"0.57172599374475","0.217947987827128","0.210326018428122","BM","9.11865415467222","0.00799200799200799","0.031968031968032","0.871128871128871","0.559440559440559","0.107892107892108","0.647352647352647"
"4","Amaryllidaceae","family","seedMass",51,67.472543,"0.00343509427034258","0.995301221221993","0.00126368450766459","OU","10.3489039447586","0.003996003996004","0.115884115884116","0.337662337662338","0.31968031968032","0.861138861138861","0.343656343656344"
"5","Juncaceae","family","seedMass",59,32.55784,"0.537701664400757","0.264489358641839","0.197808976957404","BM","9.33687779639151","0.00799200799200799","0.0839160839160839","0.447552447552448","0.987012987012987","0.807192807192807","0.317682317682318"
"6","Cyperaceae","family","seedMass",344,36.281769,"6.68471219466775e-08","0.99999990856156","2.45913184420657e-08","OU","51.2741034957617","0","0","0.707292707292707","0.167832167832168","0.0939060939060939","0.031968031968032"
"7","Restionaceae","family","seedMass",63,41.661224,"0.000208973690781056","0.999714149933559","7.68763756603847e-05","OU","16.8379351314799","0.161838161838162","0.979020979020979","0.003996003996004","0.0939060939060939","0.351648351648352","0.825174825174825"
"8","Lauraceae","family","seedMass",49,88.128423,"1.8530010456061e-06","0.999997465326783","6.81672171073402e-07","OU","18.73631413305","0.46953046953047","0.277722277722278","0.013986013986014","0.507492507492508","0.523476523476524","0.697302697302697"
"9","Annonaceae","family","seedMass",36,45.497683,"0.00645634048503514","0.991168524491284","0.0023751350236807","OU","4.29344731120701","0.043956043956044","0.021978021978022","0.987012987012987","0.851148851148851","0.587412587412587","0.495504495504495"
"10","Proteaceae","family","seedMass",149,92.305322,"0.157434844427301","0.784648923907486","0.057916231665213","OU","34.634770678364","0","0.037962037962038","0.405594405594406","0","0.225774225774226","0.295704295704296"
"11","Papaveraceae","family","seedMass",25,112.982362,"0.468897033330655","0.172495288459763","0.358607678209582","BM","9.77806915999521","0.10989010989011","0.455544455544456","0.697302697302697","0.32967032967033","0.023976023976024","0.663336663336663"
"12","Crassulaceae","family","seedMass",35,70.268061,"0.350052812799585","0.521170657116376","0.12877653008404","OU","7.21357768367625","0.011988011988012","0.001998001998002","0.31968031968032","0.281718281718282","0.657342657342657","0.853146853146853"
