"","taxa","rank","trait","size","age","aic.w.bm","aic.w.ou","aic.w.eb","model.used","mv.modelad","reml.sigsq","var.con","slope.con.var","slope.con.asr","slope.con.nh","ks.dstat"
"1","Juncaceae","family","sla",29,32.55784,"0.552319124479147","0.244494321315424","0.203186554205428","BM","14.8614871093944","0.00599400599400599","0.003996003996004","0.589410589410589","0.015984015984016","0.545454545454545","0.191808191808192"
"2","Salicaceae","family","sla",37,78.474374,"0.576116884765821","0.211941557617093","0.211941557617086","BM",NA,"0","0","0.741258741258741","0.18981018981019","0","0.321678321678322"
"3","Fagaceae","family","sla",47,40.409995,"0.343792949756683","0.529732901466821","0.126474148776496","OU","16.2252561401164","0","0","0.749250749250749","0.45954045954046","0.861138861138861","0.447552447552448"
"4","Betulaceae","family","sla",27,27.279623,"0.541960859662734","0.230606958701476","0.22743218163579","BM",NA,"0","0","0.959040959040959","0.861138861138861","0","0.725274725274725"
"5","Rosaceae","family","sla",96,82.294052,"0.167616286118523","0.770722202166096","0.0616615117153805","OU","43.8218441442516","0","0","0.517482517482518","0.001998001998002","0.327672327672328","0.231768231768232"
"6","Fabaceae","family","sla",128,69.142534,"0.371592968111744","0.491706716639442","0.136700315248814","OU","34.594241693513","0","0","0.021978021978022","0.00999000999000999","0.031968031968032","0.989010989010989"
"7","Amaranthaceae","family","sla",33,38.449258,"0.000132043172781091","0.999819381161729","4.85756654895044e-05","OU","23.1094984147621","0","0.0599400599400599","0.723276723276723","0.001998001998002","0.637362637362637","0.811188811188811"
"8","Primulaceae","family","sla",27,54.03985,"0.555711416049853","0.239854448400132","0.204434135550015","BM","7.96813516852401","0","0","0.24975024975025","0.633366633366633","0.627372627372627","0.949050949050949"
"9","Asteraceae","family","sla",198,45.743704,"6.32254409014729e-15","0.999999999999991","2.32588884490723e-15","OU","74.1782362774222","0","0","0.247752247752248","0","0.967032967032967","0.041958041958042"
"10","Boraginaceae","family","sla",27,55.795211,"0.551316813097025","0.245865347442169","0.202817839460805","BM","22.5248914542933","0.001998001998002","0.021978021978022","0.759240759240759","0","0.397602397602398","0.915084915084915"
