"taxa","rank","trait","size","age","aic.bm","aic.ou","aic.eb","aicw.bm","aicw.ou","aicw.eb","m.sig.ml.bm","c.var.ml.bm","s.var.ml.bm","s.asr.ml.bm","s.hgt.ml.bm","d.cdf.ml.bm","mv.ml.bm","mean.diag.bm","m.sig.ml.ou","c.var.ml.ou","s.var.ml.ou","s.asr.ml.ou","s.hgt.ml.ou","d.cdf.ml.ou","mv.ml.ou","mean.diag.ou","m.sig.ml.eb","c.var.ml.eb","s.var.ml.eb","s.asr.ml.eb","s.hgt.ml.eb","d.cdf.ml.eb","mv.ml.eb","mean.diag.eb"
"random","timeslice","leaf_n",935,188.283243,-776.204651383098,-802.342386095299,-775.137205103625,0.0000021098985266115,0.999996652819874,0.000001237281599882,0,0,0,0.911088911088911,0,0.121878121878122,171.793273471997,1000,0,0,0,0.875124875124875,0,0.233766233766234,128.619440540429,1000,0,0,0,0.933066933066933,0,0.141858141858142,175.484047977309,1000
"random","timeslice","leaf_n",80,158.342078,6.15116872699733,-29.3659828771072,8.1839449604783,0.0000000193886919798705,0.999999973594546,0.00000000701676223633784,0,0,0,0.001998001998002,0,0.0919080919080919,111.272858632078,1000,0.915084915084915,0,0,0.991008991008991,1.998001998002,0.0959040959040959,NA,542,0,0,0,0.001998001998002,0,0.0899100899100899,111.250783914076,1000
"random","timeslice","leaf_n",33,147.065217,-38.9317357709099,-37.3512559413493,-36.9312710113088,0.548989070558815,0.249096063343252,0.201914866097933,0.677322677322677,0.357642357642358,0.839160839160839,0.047952047952048,0.989010989010989,0.237762237762238,6.43656304248344,661,0.831168831168831,0.353646353646354,0.793206793206793,0.0659340659340659,0.715284715284715,0.0919080919080919,7.35308053769823,584,0.693306693306693,0.35964035964036,0.813186813186813,0.047952047952048,0.975024975024975,0.231768231768232,6.42072470632659,653
"random","timeslice","leaf_n",822,136.900467,-751.55875365656,-769.212515032868,-749.450945673342,0.000146706208603186,0.99980215578354,0.0000511380078569976,0,0,0,0.303696303696304,0,0.0919080919080919,111.749290084209,1000,0,0,0,0.567432567432567,0,0.105894105894106,77.2945425853602,1000,0,0,0,0.301698301698302,0,0.0919080919080919,111.683733243139,1000
"random","timeslice","leaf_n",59,90.169528,7.83693782592601,-28.9012099691806,9.83970963202694,0.0000000105296167028598,0.999999985602119,0.00000000386826475182042,0,0,0.045954045954046,0.017982017982018,0.0939060939060939,0.115884115884116,113.853277254773,1000,0.885114885114885,0,0.00999000999000999,0.341658341658342,1.998001998002,0.015984015984016,NA,557,0,0,0.047952047952048,0.017982017982018,0.0939060939060939,0.115884115884116,113.85077538595,1000
"random","timeslice","leaf_n",40,94.810763,-38.6033994602249,-37.8225797681852,-36.5849646611769,0.489887840192596,0.331546019269736,0.178566140537668,0.245754245754246,0.00999000999000999,0.921078921078921,0.26973026973027,0.857142857142857,0.615384615384615,11.6104683850683,877,0.491508491508492,0.013986013986014,0.763236763236763,0.0959040959040959,0.937062937062937,0.639360639360639,11.0338716769358,754,0.235764235764236,0.00999000999000999,0.929070929070929,0.26973026973027,0.861138861138861,0.607392607392607,11.6705165825504,882
"random","timeslice","leaf_n",145,116.87746,-145.711368640891,-149.330448868983,-143.711870109016,0.133768354049336,0.817008678289049,0.0492229676616157,0.177822177822178,0.26973026973027,0.10989010989011,0.485514485514486,0.013986013986014,0.635364635364635,9.08343947577278,911,0.467532467532468,0.47952047952048,0.287712287712288,0.655344655344655,0.275724275724276,0.613386613386613,2.94106526706217,766,0.167832167832168,0.26973026973027,0.111888111888112,0.483516483516484,0.013986013986014,0.635364635364635,9.10840875212987,916
"random","timeslice","leaf_n",294,113.679599,-365.018943678275,-364.950873587975,-363.072749367378,0.426539563450863,0.412266539436264,0.161193897112873,0.003996003996004,0.001998001998002,0.00599400599400599,0.001998001998002,0.0559440559440559,0.137862137862138,40.8892794927611,998,0.025974025974026,0.001998001998002,0.003996003996004,0.001998001998002,0.0919080919080919,0.111888111888112,36.7263265497717,987,0.00799200799200799,0.001998001998002,0.00599400599400599,0,0.033966033966034,0.125874125874126,41.2108749513488,996
"random","timeslice","leaf_n",304,116.697277,-190.212109617632,-207.935909520097,-188.207964266997,0.000141658173199865,0.999806336598942,0.000052005227857976,0,0,0,0,0,0.243756243756244,114.638235055045,1000,0,0,0,0,0,0.241758241758242,72.6058166806648,1000,0,0,0,0,0,0.23976023976024,114.221012178824,1000
"random","timeslice","leaf_n",37,19.128619,16.9356465429884,-22.7007359881524,18.9359364663764,0.00000000247211625693637,0.999999996618575,0.000000000909308922596286,0,0,0.027972027972028,0.04995004995005,0.015984015984016,0.031968031968032,145.350580957263,1000,0.913086913086913,0,0.0579420579420579,0.35964035964036,1.998001998002,0.043956043956044,NA,543,0,0,0.027972027972028,0.04995004995005,0.015984015984016,0.031968031968032,145.340478932522,1000
"random","timeslice","leaf_n",36,49.040063,-39.7812355470514,-46.1546898839957,-37.7731842779089,0.0390999704151419,0.946573742953378,0.0143262866314805,0.113886113886114,0.003996003996004,0.147852147852148,0.839160839160839,0.037962037962038,0.505494505494505,17.333253873502,943,0.821178821178821,0.001998001998002,0.709290709290709,0.703296703296703,0.48951048951049,0.355644355644356,14.2562345647344,589,0.121878121878122,0.003996003996004,0.145854145854146,0.839160839160839,0.035964035964036,0.523476523476524,17.2101764499917,939
"random","timeslice","leaf_n",25,44.697136,-32.3578762796886,-34.19179115974,-30.3592110220058,0.25841179748624,0.646460350457088,0.0951278520566716,0.183816183816184,0.639360639360639,0.115884115884116,0.0739260739260739,0.02997002997003,0.363636363636364,11.6905066641014,908,0.793206793206793,0.629370629370629,0.395604395604396,0.245754245754246,0.271728271728272,0.373626373626374,4.02219868090249,603,0.17982017982018,0.631368631368631,0.105894105894106,0.0759240759240759,0.031968031968032,0.367632367632368,11.6455923652896,910
