"","trait","aic.w.bm","aic.w.ou","aic.w.eb","model.used","reml.sigsq","var.con","slope.con.var","slope.con.asr","slope.con.nh","ks.dstat"
"Pinales","sla","0.439703580878563","0.398542448853126","0.161753970268312","BM","0.003996003996004","0.00799200799200799","0.961038961038961","0.377622377622378","0.713286713286713","0.175824175824176"
"Alismatales","sla","0.536356451801781","0.266330122294664","0.197313425903554","BM","0.00599400599400599","0.003996003996004","0.321678321678322","0.201798201798202","0.947052947052947","0.03996003996004"
"Poales","sla","9.41530073351165e-08","0.99999987121083","3.46361624145566e-08","OU","0","0","0.963036963036963","0","0.023976023976024","0.751248751248751"
"Saxifragales","sla","0.420495651408154","0.424814480974355","0.154689867617491","OU","0.00599400599400599","0.001998001998002","0.24975024975025","0.117882117882118","0.393606393606394","0.597402597402597"
"Myrtales","sla","0.566991076317791","0.224425104378296","0.208583819303913","BM","0.035964035964036","0.243756243756244","0.391608391608392","0.283716283716284","0.637362637362637","0.337662337662338"
"Malvales","sla","0.182500922396088","0.750361302352543","0.0671377752513694","OU","0.00599400599400599","0.017982017982018","0.401598401598402","0.631368631368631","0.325674325674326","0.257742257742258"
"Malpighiales","sla","0.536478542680407","0.197356731990982","0.266164725328611","BM","0","0","0.461538461538462","0.231768231768232","0.40959040959041","0.217782217782218"
"Fagales","sla","0.51002947791307","0.302341717898233","0.187628804188697","BM","0","0","0.905094905094905","0.621378621378621","0.807192807192807","0.461538461538462"
"Rosales","sla","0.144865317060419","0.80184266869062","0.0532920142489603","OU","0","0","0.727272727272727","0.001998001998002","0.311688311688312","0.929070929070929"
"Fabales","sla","0.249945160264999","0.658106114888285","0.091948724846716","OU","0","0","0.02997002997003","0.027972027972028","0.213786213786214","0.027972027972028"
"Caryophyllales","sla","0.00234629742258189","0.996790560951667","0.000863141625751365","OU","0","0","0.325674325674326","0.02997002997003","0.689310689310689","0.775224775224775"
"Ericales","sla","0.361519113925564","0.505487157779367","0.132993728295069","OU","0","0.021978021978022","0.733266733266733","0.003996003996004","0.0539460539460539","0.217782217782218"
"Dipsacales","sla","0.474110997477136","0.351474565555736","0.174414436967128","BM","0","0.00599400599400599","0.765234765234765","0.529470529470529","0.755244755244755","0.343656343656344"
"Asterales","sla","6.60765268084579e-18","1","2.43074895610376e-18","OU","0","0","0.471528471528472","0","0.915084915084915","0.445554445554446"
"Gentianales","sla","0.202665990927733","0.722777735447089","0.0745562736251779","OU","0","0","0.115884115884116","0.873126873126873","0.789210789210789","0.617382617382617"
